Planet Name,Host Name,Planet Letter,Default Parameter Set,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Discovery Facility,Solution Type,Planetary Parameter Reference,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) Provenance,Eccentricity,Equilibrium Temperature [K],Inclination [deg],Data show Transit Timing Variations,Stellar Parameter Reference,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],System Parameter Reference,RA [sexagesimal],RA [deg],Dec [sexagesimal],Dec [deg],Distance [pc],V (Johnson) Magnitude,Ks (2MASS) Magnitude,Gaia Magnitude,Date of Last Update,Planetary Parameter Reference Publication Date,Release Date
11 Com b,11 Com,b,1,2,1,Radial Velocity,2007,Xinglong Station,Published Confirmed,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,323.21000000,,4914.89849,Msini,0.238000,,,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G8 III,4874.00,13.76,2.09,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000,4.7230700,2.2820000,4.4403800,2023-09-19,2023-08,2023-09-19
11 UMi b,11 UMi,b,1,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Published Confirmed,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,516.21997000,,4684.81420,Msini,0.080000,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4213.00,29.79,2.78,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000,5.0130000,1.9390000,4.5621600,2018-09-04,2017-03,2018-09-06
14 And b,14 And,b,1,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,186.76000000,,1131.15130,Msini,0.000000,,,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,K0 III,4888.00,11.55,1.78,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000,5.2313300,2.3310000,4.9178100,2023-09-19,2023-08,2023-09-19
14 Her b,14 Her,b,1,1,2,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1765.03890000,,2559.47216,Mass,0.373000,,144.652,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,0.91,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000,6.6193500,4.7140000,6.3830000,2023-06-12,2022-09,2023-06-12
16 Cyg B b,16 Cyg B,b,1,3,1,Radial Velocity,1996,Multiple Observatories,Published Confirmed,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,798.50000000,,565.73740,Msini,0.680000,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5750.00,1.13,1.08,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000,6.2150000,4.6510000,6.0642800,2018-09-04,2017-03,2018-09-06
17 Sco b,17 Sco,b,1,1,1,Radial Velocity,2020,Lick Observatory,Published Confirmed,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,578.38000000,,1373.01872,Msini,0.060000,,,0,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,K3 III,4157.00,25.92,1.22,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.9530000,5.2260600,2.0940000,4.7542900,2021-10-25,2020-12,2021-10-25
18 Del b,18 Del,b,1,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,982.85000000,,2926.24614,Msini,0.024000,,,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G6 III,4980.00,8.80,2.10,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000,5.5104800,3.3660000,5.2747600,2023-09-19,2023-08,2023-09-19
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,1,Imaging,2008,Gemini Observatory,Published Confirmed,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,,,3000.00000,Mass,,1700,,0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,K7 V,4060.00,,0.85,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000,12.6180000,8.9160000,12.0572000,2015-04-01,2015-03,2015-04-01
24 Boo b,24 Boo,b,1,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,Published Confirmed,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,30.33000000,,280.64248,Msini,0.032000,,,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G3 IV,4816.00,12.19,1.05,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000,5.5900000,3.1590000,5.3339000,2023-09-19,2023-08,2023-09-19
24 Sex b,24 Sex,b,1,1,2,Radial Velocity,2010,Lick Observatory,Published Confirmed,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,452.80000000,,632.46000,Msini,0.090000,,,0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098.00,4.90,1.54,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,6.4535000,4.2850000,6.2037400,2014-05-14,2011-01,2014-05-14
